"L","Censoring","Parameter","n","Bias","ESD","ASE","CP"
2.5,"25%",0.143,1250,-0.003,0.053,0.052,0.948
2.5,"25%",0.143,2500,0.001,0.037,0.036,0.948
2.5,"25%",0.143,5000,0,0.024,0.026,0.964
2.5,"25%",0.143,10000,0,0.019,0.018,0.942
2.5,"25%",0.065,1250,0,0.025,0.026,0.95
2.5,"25%",0.065,2500,0,0.018,0.018,0.954
2.5,"25%",0.065,5000,0,0.012,0.013,0.962
2.5,"25%",0.065,10000,0,0.009,0.009,0.946
2.5,"50%",0.143,1250,-0.003,0.065,0.061,0.929
2.5,"50%",0.143,2500,-0.002,0.041,0.042,0.958
2.5,"50%",0.143,5000,-0.002,0.028,0.03,0.962
2.5,"50%",0.143,10000,-0.002,0.02,0.021,0.961
2.5,"50%",0.064,1250,0.008,0.031,0.031,0.948
2.5,"50%",0.064,2500,0.004,0.021,0.022,0.95
2.5,"50%",0.064,5000,0.002,0.014,0.015,0.969
2.5,"50%",0.064,10000,0.001,0.01,0.011,0.959
5,"25%",0.367,1250,-0.014,0.112,0.116,0.953
5,"25%",0.367,2500,-0.013,0.081,0.082,0.952
5,"25%",0.367,5000,-0.004,0.055,0.058,0.953
5,"25%",0.367,10000,-0.001,0.039,0.041,0.96
5,"25%",0.165,1250,-0.006,0.057,0.058,0.946
5,"25%",0.165,2500,-0.001,0.039,0.041,0.951
5,"25%",0.165,5000,-0.001,0.028,0.029,0.959
5,"25%",0.165,10000,-0.002,0.019,0.02,0.958
5,"50%",0.366,1250,-0.075,0.179,0.154,0.915
5,"50%",0.366,2500,-0.043,0.123,0.117,0.932
5,"50%",0.366,5000,-0.017,0.083,0.085,0.956
5,"50%",0.366,10000,-0.008,0.057,0.061,0.965
5,"50%",0.164,1250,0.06,0.099,0.075,0.84
5,"50%",0.164,2500,0.035,0.066,0.058,0.899
5,"50%",0.164,5000,0.019,0.046,0.043,0.932
5,"50%",0.164,10000,0.009,0.032,0.031,0.948
