"L","Censoring","Parameter","n","Bias","ESD","ASE","CP"
2.5,"25%",0.142,1250,0.006,0.052,0.051,0.949
2.5,"25%",0.142,2500,0.006,0.036,0.036,0.949
2.5,"25%",0.142,5000,0.007,0.026,0.025,0.945
2.5,"25%",0.142,10000,0.007,0.019,0.018,0.934
2.5,"25%",0.065,1250,0,0.026,0.025,0.946
2.5,"25%",0.065,2500,0,0.018,0.018,0.95
2.5,"25%",0.065,5000,0,0.013,0.013,0.955
2.5,"25%",0.065,10000,0.001,0.009,0.009,0.953
2.5,"50%",0.141,1250,-0.008,0.059,0.059,0.945
2.5,"50%",0.141,2500,-0.008,0.04,0.041,0.956
2.5,"50%",0.141,5000,-0.008,0.029,0.029,0.945
2.5,"50%",0.141,10000,-0.008,0.021,0.02,0.943
2.5,"50%",0.065,1250,0.015,0.034,0.03,0.919
2.5,"50%",0.065,2500,0.013,0.024,0.021,0.897
2.5,"50%",0.065,5000,0.011,0.018,0.014,0.889
2.5,"50%",0.065,10000,0.01,0.014,0.01,0.831
