"","est","se","p"
"female",-0.470736735717314,0.901073496411038,0.601379540884203
"dialysis",-17.3929000258596,2.21025330948977,3.5694887374961e-15
"creat1",-3.81132217030037,0.577521823031772,4.12706263697092e-11
"creat1_dialysis",3.17386904598572,1.08715877307183,0.0035068755134933
"diabetes",-1.63498785274578,0.927100265491821,0.077807739501532
"albumin3",2.12987021902255,0.594014051238686,0.000336361738089863
"working_lt",4.5451172450608,0.944238370065875,1.48289275488725e-06
"diag_HCV",-2.14434402409794,0.97468900345428,0.0278048411679333
"diag_ahn",-2.04190819478839,3.51288289370196,0.561063338947579
"diag_chol_cirr",-1.35542468671434,1.69367238031358,0.423544294416137
"diag_mal_neo",2.29509351527446,1.2197530942812,0.0598896674854599
"diag_met_dis",-2.28078051505261,3.129818558411,0.46616921562367
"don_female",0.488455605245485,1.09862904915092,0.656605472417923
"don_Black",0.102891663823995,1.11654970675398,0.92657771870615
"don_hisp",0.779200631405223,1.33646141639675,0.55987132590524
"don_Asian",-5.39461546305427,2.86235101864841,0.0594730661841848
"AGE_DON00",1.52925664984739,1.3780861124712,0.267130046154903
"AGE_DON40",-1.9233298911969,0.991588444953509,0.0524228085319481
"AGE_DON60",-3.85589572289113,1.39492271184368,0.0057056238024616
"don_cod_anoxia",0.896637615284202,1.01064237483287,0.374973522551926
"don_cod_cva",-4.87914441252908,1.12541585867419,1.45485609752544e-05
"don_cod_other",-3.26315205753331,2.70388100813527,0.227493725188299
"don_DCD",-12.769874809779,1.826842609326,2.74623632614303e-12
"don_hgt1",1.72227752511993,0.558207508274323,0.00203298064217388
"don_wgt1",-0.233739535841628,0.220358042290205,0.288814376398285
"don_smoke",0.835433822755522,1.00948036122021,0.407903872330362
"don_coke",1.00137471924765,1.01632354798685,0.324481019694775
"don_creat",-0.726483520831293,0.254076052502033,0.00424556694299132
"don_partsplit",-10.6406279848092,3.71489669441162,0.00417914443632349
"abo_mat2",-1.97575806678964,1.94019495303657,0.308521317585356
"cmv_DposRneg",-1.33863498110667,1.33982834312799,0.31774173813292
"cmv_DposRpos",0.0324806777270201,1.24343095186212,0.979160174298148
"cmv_DnegRpos",-1.39815918520792,1.34240468833559,0.297628106542271
