"","est","se","p"
"female",26.7964501298674,11.8429612787549,0.0236574098314481
"dialysis",-173.908610704195,29.0080519370515,2.03255090280165e-09
"creat1",-16.3913770165395,6.70360806967525,0.0144788928936476
"creat1_dialysis",18.9030677892394,12.568013091951,0.132565467370968
"diabetes",-70.4971238121987,13.7731345221049,3.08054103674184e-07
"albumin3",-8.41406348139604,7.98767659051641,0.292166596352709
"working_lt",34.2866782228025,15.3660010320391,0.0256590231306702
"diag_HCV",12.9361793126878,13.5642946602195,0.340238823915085
"diag_ahn",-132.742826272541,50.6387680366837,0.00875777704146053
"diag_chol_cirr",21.3631708342726,20.6800360253968,0.301588202713911
"diag_mal_neo",-22.7994373002026,18.5467650642049,0.218961388173987
"diag_met_dis",11.1443211553403,36.6535426838454,0.761093716632363
"don_female",39.8478126663302,15.9455710878886,0.0124548046510795
"don_Black",-17.591403454684,16.1280131256673,0.27538909417678
"don_hisp",-3.16982882820473,19.0557820337839,0.867885670592896
"don_Asian",-39.0731726624333,31.6640378272551,0.217205846510275
"AGE_DON00",62.5558973617528,18.8789994266822,0.000921302999872031
"AGE_DON40",-29.3024948411682,13.9996108857283,0.0363408069721948
"AGE_DON60",-89.7527369578787,19.5315817446908,4.32205692300185e-06
"don_cod_anoxia",-62.2831392455908,15.3115078547138,4.74725522231653e-05
"don_cod_cva",-34.4684084597047,14.6218777657006,0.0184075004305356
"don_cod_other",28.6248736911337,39.2145977834975,0.465417972632232
"don_DCD",-177.938088539166,29.0369826511957,8.90010075110407e-10
"don_hgt1",33.0682916391055,8.18882443997734,5.3857853526444e-05
"don_wgt1",-6.80040100521784,3.6153193974754,0.0599724750152962
"don_smoke",32.0745440085384,13.3935765887727,0.0166307647359356
"don_coke",-50.3576642899118,15.9615172174384,0.0016052990319718
"don_creat",-10.0793116336585,3.995629340857,0.0116496041367435
"don_partsplit",-173.856583733921,45.9942247793222,0.000156850078924308
"abo_mat2",-35.104592681976,28.4369290651624,0.217027074304051
"cmv_DposRneg",-29.0846334228841,19.8197916465671,0.142252581742375
"cmv_DposRpos",-2.92215315470833,18.7497022993161,0.876150751164498
"cmv_DnegRpos",-10.5765331803846,19.3878012729664,0.58539238860758
